City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,california city,35.1258,-117.9859,37.87,12,0,6.17,US,1722543823
216,sebastian,35.1668,-94.2669,36.33,34,17,2.11,US,1722543824
217,berdigestyakh,62.0989,126.6992,9.58,58,97,1.38,RU,1722543825
218,valparaiso,-33.0393,-71.6273,13.97,81,100,7.2,CL,1722543826
219,tinajo,29.0788,-13.7081,23.49,69,20,11.83,ES,1722543827
220,cody,44.5263,-109.0565,32.11,25,0,4.12,US,1722543828
221,saint-joseph,-21.3667,55.6167,20.21,68,66,2.37,RE,1722543829
222,haiku-pauwela,20.9219,-156.3051,26.81,70,20,9.26,US,1722543830
223,torbat-e heydariyeh,35.274,59.2195,25.49,28,0,5.28,IR,1722543831
224,correntina,-13.3433,-44.6367,28.49,26,4,4.33,BR,1722543832
225,kruisfontein,-34.0033,24.7314,11.05,86,1,2.76,ZA,1722543833
226,mount pearl,47.5166,-52.7813,27.19,66,75,7.72,CA,1722543834
227,cabedelo,-6.9811,-34.8339,26.37,74,0,7.35,BR,1722543835
228,keflavik,64.0049,-22.5624,12.95,76,75,5.14,IS,1722543836
229,east london,-33.0153,27.9116,15.47,66,79,2.95,ZA,1722543837
230,bikenibeu village,1.3673,173.1241,28.98,79,20,2.06,KI,1722543839
231,pagar alam,-4.0167,103.2667,19.51,90,29,1.03,ID,1722543840
232,tokar,18.4254,37.729,32.72,47,95,10.61,SD,1722543841
233,sao joao da barra,-21.6403,-41.0511,23.05,65,2,5.53,BR,1722543842
234,san antonio de pale,-1.4014,5.6325,22.74,80,99,5.55,GQ,1722543843
235,arica,-18.475,-70.3042,21.75,67,0,3.6,CL,1722543844
236,kilifi,-3.6305,39.8499,24.11,79,3,7.0,KE,1722543845
237,aykhal,66.0,111.5,7.17,65,5,1.6,RU,1722543846
238,maxixe,-23.8597,35.3472,18.65,79,1,3.06,MZ,1722543847
239,tezu,27.9167,96.1667,23.56,97,71,1.84,IN,1722543848
240,vikulovo,56.8167,70.6107,19.25,87,89,5.25,RU,1722543849
241,massena,44.9281,-74.8919,30.99,55,0,4.12,US,1722543850
242,karimpur,23.9667,88.6167,25.46,96,100,7.67,IN,1722543851
243,sitka,57.0531,-135.33,15.94,72,75,0.0,US,1722543852
244,sandnessjoen,66.0217,12.6316,15.29,77,75,3.09,NO,1722543614
245,koshki,54.2091,50.4677,14.63,91,75,3.05,RU,1722543617
246,mcminnville,45.2101,-123.1987,34.34,49,0,2.06,US,1722543855
247,usinsk,65.9939,57.5281,15.6,85,0,4.64,RU,1722543857
248,fort st. john,56.2499,-120.8529,20.94,43,75,5.14,CA,1722543858
249,horsham,51.064,-0.3272,21.12,81,20,2.06,GB,1722543528
250,guisa,20.255,-76.5386,31.46,57,65,4.68,CU,1722543860
